customer_id,age,gender,item_purchased,category,purchase_amount,location,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,previous_purchases,payment_method,frequency_of_purchases,age_group,purchase_frequency_days
16,32,Other,Shorts,Clothing,8655,Pallavaram,L,Teal,Festive,3.9,No,Free Shipping,Yes,31,Debit Card,Weekly,Adult,7
17,26,Female,Leggings,Clothing,5990,Tambaram,M,Orange,Winter,1.2,No,Free Shipping,No,32,UPI,Monthly,Young Adult,30
18,30,Other,Kurti,Clothing,1162,Ambattur,XXL,Teal,Spring,3.5,Yes,Standard,No,14,Credit Card,Fortnightly,Adult,14
19,41,Female,Scarf,Clothing,1177,Washermenpet,L,Beige,Festive,3.4,No,Standard,Yes,14,Cash,Fortnightly,Adult,14
20,39,Female,Jacket,Clothing,1086,T Nagar,S,Red,Spring,1.7,No,Express,Yes,39,Debit Card,Monthly,Adult,30
21,42,Male,Blazer,Clothing,5984,Nungambakkam,XXL,Navy,Monsoon,1.7,Yes,Free Shipping,No,1,Cash,Weekly,Adult,7
22,40,Female,Tracksuit,Clothing,8712,Adyar,L,Black,Festive,1.5,No,Free Shipping,No,5,Credit Card,Fortnightly,Adult,14
23,29,Other,Hoodie,Clothing,8576,Mylapore,M,White,Summer,4.4,Yes,Standard,No,2,Debit Card,Occasionally,Young Adult,90
24,63,Male,Dress,Clothing,6539,Saidapet,L,Teal,Winter,3.6,Yes,Free Shipping,Yes,23,Debit Card,Fortnightly,Senior,14
25,66,Male,Jeans,Clothing,5123,Thiruvanmiyur,M,Navy,Spring,2.0,No,Standard,No,29,Credit Card,Fortnightly,Senior,14
26,31,Other,Chinos,Clothing,5024,Perambur,XL,Pink,Summer,2.4,Yes,Express,No,16,Cash,Fortnightly,Adult,14
27,51,Female,Shorts,Clothing,8454,Guindy,XS,Red,Summer,4.0,No,Free Shipping,No,4,Net Banking,Weekly,Middle-Aged,7
28,50,Other,Sweater,Clothing,3321,Perambur,XXL,Olive,Festive,3.0,No,Free Shipping,Yes,29,UPI,Fortnightly,Middle-Aged,14
29,53,Other,Pajamas,Clothing,9914,Mylapore,S,Orange,Festive,2.5,Yes,Express,Yes,8,Credit Card,Monthly,Middle-Aged,30
30,61,Other,Jacket,Clothing,9011,Tambaram,XXL,Gray,Spring,4.3,Yes,Express,Yes,27,UPI,Occasionally,Senior,90
31,45,Male,Shorts,Clothing,1028,Madipakkam,XL,Blue,Festive,4.6,Yes,Express,No,33,UPI,Weekly,Middle-Aged,7
32,20,Male,Kurti,Clothing,2545,Thiruvanmiyur,M,Blue,Spring,2.2,Yes,Standard,No,22,Debit Card,Weekly,Young Adult,7
33,22,Female,Kurti,Clothing,6965,Pallavaram,S,Black,Summer,2.1,Yes,Free Shipping,Yes,24,Credit Card,Monthly,Young Adult,30
34,35,Female,Hoodie,Clothing,2783,Madipakkam,L,Teal,Winter,2.6,Yes,Standard,Yes,26,Net Banking,Monthly,Adult,30
35,24,Other,Cap,Clothing,4475,T Nagar,XXL,Red,Monsoon,3.6,Yes,Free Shipping,No,5,UPI,Weekly,Young Adult,7
36,19,Male,Scarf,Clothing,6252,Madipakkam,M,Olive,Winter,4.1,No,Express,Yes,31,Wallet,Monthly,Young Adult,30
37,41,Male,Scarf,Clothing,8431,Royapettah,XXL,Red,Summer,4.7,Yes,Standard,No,36,UPI,Fortnightly,Adult,14
38,19,Female,Jeans,Clothing,3733,Chromepet,XS,Purple,Winter,2.6,No,Free Shipping,No,29,Debit Card,Weekly,Young Adult,7
39,28,Female,T-shirt,Clothing,4045,Porur,M,Navy,Spring,1.7,No,Standard,No,18,Wallet,Occasionally,Young Adult,90
40,22,Female,Skirt,Clothing,1715,T Nagar,XS,Pink,Spring,1.2,Yes,Express,Yes,10,Cash,Weekly,Young Adult,7
41,22,Other,Top,Clothing,3179,Saidapet,XS,White,Spring,3.1,No,Standard,No,9,Cash,Occasionally,Young Adult,90
42,62,Female,Skirt,Clothing,7487,Royapettah,XL,Blue,Summer,4.2,No,Free Shipping,No,37,Debit Card,Monthly,Senior,30
43,24,Female,Kurti,Clothing,6810,Kodungaiyur,M,Black,Monsoon,4.6,No,Express,Yes,10,Wallet,Occasionally,Young Adult,90
44,46,Male,Tracksuit,Clothing,8635,Ambattur,XXL,Pink,Winter,1.0,Yes,Free Shipping,Yes,32,Debit Card,Monthly,Middle-Aged,30
45,50,Female,Hoodie,Clothing,3521,Madipakkam,S,Pink,Summer,3.6,Yes,Express,No,25,Credit Card,Weekly,Middle-Aged,7
46,49,Male,Pajamas,Clothing,4475,Anna Nagar,XXL,Maroon,Winter,1.3,No,Express,No,11,Cash,Monthly,Middle-Aged,30
47,51,Other,Skirt,Clothing,4235,Egmore,L,Black,Monsoon,1.4,No,Express,No,17,Wallet,Weekly,Middle-Aged,7
48,25,Female,Hoodie,Clothing,5757,Saidapet,XXL,Yellow,Winter,3.5,Yes,Express,Yes,29,Credit Card,Monthly,Young Adult,30
49,39,Male,Cap,Clothing,2895,Porur,XS,Brown,Summer,3.4,No,Express,Yes,28,Cash,Weekly,Adult,7
50,34,Male,Tracksuit,Clothing,2272,Saidapet,M,White,Spring,2.8,No,Express,No,15,Credit Card,Occasionally,Adult,90
51,45,Other,Cap,Clothing,599,Velachery,XXL,Blue,Festive,1.7,No,Express,No,8,Wallet,Fortnightly,Middle-Aged,14
52,55,Other,Blazer,Clothing,4459,Perambur,L,Olive,Summer,2.9,No,Standard,Yes,32,Cash,Monthly,Middle-Aged,30
53,59,Male,Shirt,Clothing,7322,Velachery,M,Blue,Summer,4.7,Yes,Free Shipping,Yes,10,Debit Card,Occasionally,Senior,90
54,41,Female,Dress,Clothing,7750,Perambur,XS,Green,Festive,3.5,Yes,Standard,Yes,38,Net Banking,Weekly,Adult,7
55,55,Other,Pajamas,Clothing,1063,Porur,S,Blue,Monsoon,2.6,No,Express,Yes,25,Cash,Monthly,Middle-Aged,30
56,44,Female,Formal Pants,Clothing,6950,Tambaram,M,Blue,Festive,1.2,No,Standard,Yes,6,Cash,Monthly,Middle-Aged,30
57,64,Female,Jeans,Clothing,2118,Chromepet,M,Brown,Festive,4.2,No,Standard,Yes,6,Debit Card,Weekly,Senior,7
58,24,Female,Blazer,Clothing,1886,Mylapore,XXL,Black,Summer,2.0,Yes,Express,Yes,22,Cash,Occasionally,Young Adult,90
59,31,Male,Tracksuit,Clothing,8232,Tambaram,XXL,Teal,Summer,3.5,No,Free Shipping,Yes,18,Debit Card,Occasionally,Adult,90
60,38,Other,Shorts,Clothing,5931,Kodungaiyur,XS,Maroon,Monsoon,4.1,Yes,Express,No,1,Cash,Fortnightly,Adult,14
61,33,Male,T-shirt,Clothing,8261,Tambaram,M,Gray,Winter,3.6,No,Express,No,20,Debit Card,Weekly,Adult,7
62,49,Other,Formal Pants,Clothing,4475,Nungambakkam,L,Navy,Monsoon,2.1,No,Free Shipping,Yes,38,Wallet,Fortnightly,Middle-Aged,14
63,26,Female,Kurti,Clothing,1850,Porur,XL,Navy,Festive,4.1,Yes,Express,Yes,15,Wallet,Occasionally,Young Adult,90
64,20,Male,Tracksuit,Clothing,2863,Kodungaiyur,XXL,Beige,Winter,1.1,Yes,Express,Yes,0,Credit Card,Occasionally,Young Adult,90
65,55,Male,Scarf,Clothing,963,Velachery,XL,Black,Monsoon,3.4,No,Free Shipping,Yes,5,Debit Card,Fortnightly,Middle-Aged,14
66,68,Male,Tracksuit,Clothing,5420,Washermenpet,XS,Black,Summer,4.2,Yes,Free Shipping,No,19,Credit Card,Fortnightly,Senior,14
67,26,Other,Skirt,Clothing,8093,Guindy,XL,Green,Spring,1.7,Yes,Express,Yes,7,Debit Card,Occasionally,Young Adult,90
68,23,Female,Top,Clothing,2191,T Nagar,XL,Maroon,Festive,4.7,No,Standard,No,23,Credit Card,Occasionally,Young Adult,90
69,22,Male,Dress,Clothing,1789,Nungambakkam,L,Teal,Winter,4.9,No,Standard,No,18,Wallet,Monthly,Young Adult,30
70,66,Other,Jacket,Clothing,5371,Porur,XXL,Blue,Monsoon,3.7,Yes,Standard,No,15,Wallet,Weekly,Senior,7
71,29,Female,Leggings,Clothing,5124,Washermenpet,XXL,Purple,Spring,1.7,No,Express,No,9,Wallet,Fortnightly,Young Adult,14
72,46,Male,Shirt,Clothing,8762,Velachery,S,Olive,Monsoon,4.7,Yes,Express,Yes,8,Credit Card,Weekly,Middle-Aged,7
73,68,Other,Tracksuit,Clothing,8672,Perambur,XL,Green,Festive,4.3,No,Standard,No,35,UPI,Fortnightly,Senior,14
74,29,Female,Shirt,Clothing,7292,Egmore,XS,Red,Summer,1.1,No,Standard,No,13,Credit Card,Weekly,Young Adult,7
75,39,Other,Sweater,Clothing,5153,Royapettah,L,Purple,Winter,3.2,Yes,Express,Yes,12,Debit Card,Occasionally,Adult,90
76,27,Other,Scarf,Clothing,9364,Royapettah,XS,Green,Monsoon,1.1,Yes,Free Shipping,Yes,22,Net Banking,Monthly,Young Adult,30
77,34,Male,Shirt,Clothing,8741,Egmore,XXL,White,Festive,3.4,Yes,Standard,Yes,2,UPI,Occasionally,Adult,90
78,28,Female,Dress,Clothing,9234,Guindy,XXL,Orange,Spring,4.2,Yes,Standard,No,16,Net Banking,Weekly,Young Adult,7
79,20,Female,Sweater,Clothing,3140,Adyar,XS,Brown,Summer,3.0,Yes,Standard,No,15,Credit Card,Weekly,Young Adult,7
80,40,Male,Jacket,Clothing,2722,Tambaram,XL,Green,Monsoon,4.9,Yes,Free Shipping,No,26,Net Banking,Monthly,Adult,30
81,44,Other,Jacket,Clothing,1548,Chromepet,XS,Purple,Spring,2.4,No,Express,No,2,Credit Card,Occasionally,Middle-Aged,90
82,48,Male,Leggings,Clothing,5612,Porur,M,Blue,Winter,3.6,No,Standard,No,27,Net Banking,Monthly,Middle-Aged,30
83,37,Female,Cap,Clothing,5417,Guindy,L,White,Spring,4.3,Yes,Standard,No,8,Debit Card,Occasionally,Adult,90
84,51,Other,Shorts,Clothing,7101,Chromepet,L,Maroon,Festive,2.6,Yes,Free Shipping,No,6,Wallet,Weekly,Middle-Aged,7
85,69,Female,Chinos,Clothing,366,Guindy,L,White,Winter,2.5,No,Express,No,19,Debit Card,Weekly,Senior,7
86,60,Other,Scarf,Clothing,3868,Nungambakkam,XXL,Gray,Summer,4.0,No,Express,Yes,39,UPI,Weekly,Senior,7
87,37,Male,Pajamas,Clothing,7574,Mylapore,XXL,Olive,Summer,4.9,Yes,Standard,Yes,21,UPI,Monthly,Adult,30
88,17,Female,T-shirt,Clothing,8468,Perambur,S,Red,Festive,2.1,No,Express,No,7,Wallet,Fortnightly,Young Adult,14
89,48,Other,Jacket,Clothing,8665,Egmore,S,Olive,Spring,1.7,Yes,Express,No,37,Cash,Monthly,Middle-Aged,30
90,50,Other,Blazer,Clothing,5001,Perambur,XL,Navy,Summer,1.9,No,Express,Yes,5,Wallet,Weekly,Middle-Aged,7
91,40,Male,Cap,Clothing,7272,Ambattur,XS,Red,Winter,2.0,Yes,Standard,Yes,2,Credit Card,Fortnightly,Adult,14
92,59,Male,Scarf,Clothing,8760,Washermenpet,XXL,White,Winter,1.1,Yes,Express,Yes,29,Net Banking,Monthly,Senior,30
93,52,Male,Pajamas,Clothing,1868,Egmore,XS,Teal,Monsoon,1.2,Yes,Standard,Yes,37,Cash,Fortnightly,Middle-Aged,14
94,53,Other,Skirt,Clothing,9631,Adyar,XXL,Teal,Festive,1.7,Yes,Standard,No,26,Wallet,Weekly,Middle-Aged,7
95,34,Male,Saree,Clothing,6190,Madipakkam,XL,Olive,Summer,4.1,No,Express,Yes,36,UPI,Weekly,Adult,7
96,49,Male,Leggings,Clothing,9778,Royapettah,S,Gray,Summer,4.3,No,Standard,No,18,UPI,Fortnightly,Middle-Aged,14
97,65,Female,T-shirt,Clothing,3037,Egmore,M,Orange,Winter,3.8,No,Express,Yes,3,Cash,Fortnightly,Senior,14
98,57,Other,Saree,Clothing,6376,Chromepet,M,Purple,Summer,4.6,No,Standard,Yes,12,Debit Card,Weekly,Senior,7
99,36,Other,T-shirt,Clothing,7641,Washermenpet,M,Blue,Festive,3.6,Yes,Express,No,1,Cash,Fortnightly,Adult,14
100,63,Female,Shirt,Clothing,8729,Washermenpet,XS,Navy,Summer,1.2,Yes,Free Shipping,No,25,Net Banking,Occasionally,Senior,90
101,42,Male,Saree,Clothing,2903,Perambur,S,Yellow,Summer,3.7,Yes,Standard,Yes,16,Cash,Occasionally,Adult,90
102,69,Female,Jacket,Clothing,4092,Perambur,XXL,Navy,Winter,4.4,Yes,Express,Yes,27,UPI,Occasionally,Senior,90
103,69,Female,Pajamas,Clothing,5153,Kodungaiyur,XL,Maroon,Spring,1.5,No,Express,No,11,Debit Card,Occasionally,Senior,90
104,41,Other,Scarf,Clothing,5554,Chromepet,XS,Yellow,Winter,1.7,Yes,Free Shipping,No,19,UPI,Monthly,Adult,30
105,58,Male,Jeans,Clothing,336,Kodungaiyur,XL,Gray,Winter,3.8,No,Standard,Yes,9,Net Banking,Fortnightly,Senior,14
106,53,Male,Blazer,Clothing,5584,Tambaram,XS,Maroon,Summer,1.6,Yes,Standard,Yes,1,Credit Card,Fortnightly,Middle-Aged,14
107,69,Male,Leggings,Clothing,8578,Washermenpet,L,Orange,Summer,3.3,Yes,Standard,Yes,22,Net Banking,Weekly,Senior,7
108,37,Male,Skirt,Clothing,9045,Washermenpet,XL,Black,Festive,4.7,Yes,Standard,No,17,Credit Card,Monthly,Adult,30
109,69,Female,Scarf,Clothing,9832,Perambur,S,White,Festive,3.8,No,Free Shipping,Yes,15,Cash,Weekly,Senior,7
110,55,Male,Skirt,Clothing,2905,Anna Nagar,M,Gray,Festive,1.1,No,Free Shipping,No,12,Cash,Weekly,Middle-Aged,7
111,40,Male,Pajamas,Clothing,4393,Thiruvanmiyur,L,Olive,Festive,2.5,No,Express,No,23,Debit Card,Weekly,Adult,7
112,63,Female,Tracksuit,Clothing,434,Ambattur,XL,Navy,Winter,3.1,No,Standard,No,15,Cash,Weekly,Senior,7
113,57,Female,Sweater,Clothing,1489,Saidapet,XS,Maroon,Winter,2.3,No,Express,Yes,22,Debit Card,Fortnightly,Senior,14
114,18,Male,Jacket,Clothing,5265,Ambattur,M,Gray,Spring,3.8,Yes,Free Shipping,Yes,3,Cash,Weekly,Young Adult,7
115,40,Male,Blazer,Clothing,9721,Nungambakkam,M,Teal,Winter,2.2,Yes,Free Shipping,No,25,Cash,Weekly,Adult,7
116,45,Female,Jacket,Clothing,1328,Tambaram,XL,Green,Summer,4.1,Yes,Standard,No,21,Credit Card,Weekly,Middle-Aged,7
117,51,Other,T-shirt,Clothing,8083,Guindy,XS,Olive,Festive,1.3,Yes,Standard,No,13,Debit Card,Occasionally,Middle-Aged,90
118,64,Other,Hoodie,Clothing,1972,Ambattur,XS,White,Spring,3.8,No,Standard,Yes,12,Cash,Weekly,Senior,7
119,25,Other,Skirt,Clothing,5475,Kodungaiyur,XL,Brown,Monsoon,1.4,Yes,Free Shipping,No,3,Credit Card,Weekly,Young Adult,7
120,45,Female,Jacket,Clothing,5992,Kodungaiyur,XXL,Yellow,Festive,1.4,No,Free Shipping,No,9,Net Banking,Weekly,Middle-Aged,7
121,46,Female,Shorts,Clothing,4707,Washermenpet,XL,Brown,Spring,4.2,Yes,Free Shipping,Yes,34,Net Banking,Monthly,Middle-Aged,30
122,26,Other,Blazer,Clothing,4930,Tambaram,S,Beige,Spring,2.5,Yes,Express,Yes,35,Cash,Occasionally,Young Adult,90
123,47,Male,Blazer,Clothing,7387,Kodungaiyur,M,Red,Monsoon,4.1,No,Express,No,36,Debit Card,Fortnightly,Middle-Aged,14
124,47,Other,Blazer,Clothing,5168,Royapettah,S,Green,Winter,3.6,No,Express,No,26,UPI,Fortnightly,Middle-Aged,14
125,17,Male,Leggings,Clothing,3644,Thiruvanmiyur,XXL,Green,Summer,2.3,No,Standard,Yes,37,Cash,Monthly,Young Adult,30
126,50,Female,Top,Clothing,2496,Thiruvanmiyur,L,Pink,Spring,4.6,Yes,Express,Yes,20,Credit Card,Occasionally,Middle-Aged,90
127,39,Other,Leggings,Clothing,5154,T Nagar,S,Orange,Festive,2.7,Yes,Express,No,35,Cash,Monthly,Adult,30
128,24,Other,Cap,Clothing,4162,Tambaram,XXL,Green,Monsoon,3.4,Yes,Express,Yes,21,Wallet,Weekly,Young Adult,7
129,16,Male,Chinos,Clothing,2518,Ambattur,L,Purple,Festive,2.7,No,Standard,No,17,Cash,Weekly,Young Adult,7
130,61,Male,Top,Clothing,5410,Thiruvanmiyur,L,Maroon,Summer,3.4,Yes,Express,No,24,Wallet,Occasionally,Senior,90
131,42,Other,Blazer,Clothing,6166,Nungambakkam,L,Brown,Winter,2.0,No,Express,No,16,Cash,Monthly,Adult,30
132,46,Male,Saree,Clothing,848,Chromepet,L,Black,Winter,4.3,Yes,Standard,Yes,13,Net Banking,Fortnightly,Middle-Aged,14
133,29,Female,T-shirt,Clothing,6558,Tambaram,M,Blue,Summer,2.9,No,Standard,No,9,Wallet,Occasionally,Young Adult,90
134,32,Other,T-shirt,Clothing,6253,Mylapore,XS,Navy,Festive,2.4,No,Express,Yes,6,Credit Card,Monthly,Adult,30
135,65,Other,Saree,Clothing,8986,Pallavaram,XS,Navy,Spring,1.3,No,Free Shipping,No,10,Wallet,Fortnightly,Senior,14
136,22,Male,Tracksuit,Clothing,1708,Washermenpet,M,Beige,Monsoon,2.3,No,Free Shipping,Yes,20,Debit Card,Fortnightly,Young Adult,14
137,32,Male,Saree,Clothing,8630,Madipakkam,XS,Purple,Festive,4.3,No,Standard,Yes,7,UPI,Weekly,Adult,7
138,40,Male,Leggings,Clothing,9001,Nungambakkam,XS,Pink,Winter,4.5,No,Standard,No,18,Credit Card,Occasionally,Adult,90
139,53,Female,Shirt,Clothing,868,Porur,XL,Green,Winter,1.1,Yes,Free Shipping,No,14,Debit Card,Weekly,Middle-Aged,7
140,45,Female,Saree,Clothing,9614,Madipakkam,L,White,Summer,2.0,Yes,Free Shipping,Yes,38,Net Banking,Monthly,Middle-Aged,30
141,23,Other,Leggings,Clothing,4071,Perambur,XS,Red,Summer,3.9,No,Express,Yes,23,Net Banking,Fortnightly,Young Adult,14
142,44,Female,Top,Clothing,6541,Pallavaram,S,Teal,Winter,3.3,No,Standard,No,21,Wallet,Occasionally,Middle-Aged,90
143,43,Male,Cap,Clothing,5615,Ambattur,XXL,Teal,Spring,4.7,No,Standard,Yes,17,Debit Card,Occasionally,Middle-Aged,90
144,29,Male,Top,Clothing,2069,Adyar,M,Navy,Monsoon,1.7,Yes,Standard,Yes,8,Wallet,Occasionally,Young Adult,90
145,53,Other,Scarf,Clothing,4835,Porur,L,Orange,Spring,1.5,No,Standard,Yes,31,Cash,Occasionally,Middle-Aged,90
146,45,Other,Shirt,Clothing,5837,Egmore,XL,Blue,Summer,4.7,Yes,Standard,Yes,29,Credit Card,Weekly,Middle-Aged,7
147,63,Female,Leggings,Clothing,9065,Porur,L,Maroon,Winter,3.0,Yes,Express,No,28,Debit Card,Occasionally,Senior,90
148,65,Female,Kurti,Clothing,1518,Chromepet,XXL,Black,Spring,4.6,No,Standard,Yes,39,Cash,Monthly,Senior,30
149,61,Male,Skirt,Clothing,4255,Nungambakkam,XL,Olive,Summer,1.6,Yes,Free Shipping,No,38,Debit Card,Weekly,Senior,7
150,51,Other,Chinos,Clothing,8717,Mylapore,XL,Gray,Spring,4.8,No,Free Shipping,Yes,17,Net Banking,Weekly,Middle-Aged,7
151,51,Female,Leggings,Clothing,5068,Kodungaiyur,L,Olive,Monsoon,1.8,Yes,Free Shipping,No,28,Cash,Monthly,Middle-Aged,30
152,35,Other,Top,Clothing,6376,Tambaram,L,Green,Monsoon,2.1,Yes,Express,Yes,18,Net Banking,Weekly,Adult,7
153,26,Female,Top,Clothing,7845,T Nagar,XL,Blue,Winter,3.9,No,Standard,No,32,Net Banking,Monthly,Young Adult,30
154,56,Female,Tracksuit,Clothing,8909,Mylapore,L,Gray,Summer,3.5,No,Express,No,34,Debit Card,Monthly,Middle-Aged,30
155,46,Other,Chinos,Clothing,8993,Egmore,XL,Beige,Festive,4.5,Yes,Express,No,38,UPI,Monthly,Middle-Aged,30
156,37,Female,Skirt,Clothing,336,Velachery,M,Yellow,Summer,2.9,No,Express,Yes,8,Credit Card,Weekly,Adult,7
157,35,Other,Dress,Clothing,4231,Egmore,S,Black,Festive,3.5,Yes,Standard,Yes,6,Net Banking,Fortnightly,Adult,14
158,57,Other,Saree,Clothing,8116,Adyar,M,Brown,Winter,2.6,Yes,Free Shipping,Yes,19,Net Banking,Fortnightly,Senior,14
159,24,Female,Tracksuit,Clothing,3807,Pallavaram,XXL,Brown,Spring,4.1,No,Free Shipping,No,25,Wallet,Weekly,Young Adult,7
160,69,Male,Skirt,Clothing,7263,Saidapet,S,Yellow,Winter,4.5,No,Free Shipping,Yes,11,Cash,Fortnightly,Senior,14
161,36,Male,Leggings,Clothing,6149,Kodungaiyur,M,Brown,Summer,1.0,No,Free Shipping,No,18,UPI,Weekly,Adult,7
162,38,Male,Cap,Clothing,7272,Madipakkam,XL,Black,Spring,4.4,Yes,Free Shipping,Yes,11,UPI,Occasionally,Adult,90
163,65,Other,T-shirt,Clothing,2928,T Nagar,M,Black,Festive,3.3,Yes,Free Shipping,No,35,UPI,Fortnightly,Senior,14
164,24,Male,Cap,Clothing,8660,Royapettah,S,Maroon,Festive,2.9,No,Express,Yes,2,Wallet,Monthly,Young Adult,30
165,27,Female,Shirt,Clothing,3565,Kodungaiyur,XS,White,Spring,3.6,No,Free Shipping,Yes,25,UPI,Occasionally,Young Adult,90
166,47,Female,Cap,Clothing,6781,Thiruvanmiyur,XL,Purple,Monsoon,2.6,Yes,Free Shipping,Yes,10,Net Banking,Occasionally,Middle-Aged,90
167,63,Female,Pajamas,Clothing,2179,Madipakkam,XS,Red,Monsoon,3.1,Yes,Free Shipping,No,38,Net Banking,Monthly,Senior,30
168,38,Other,Hoodie,Clothing,6938,Saidapet,S,Maroon,Festive,2.9,Yes,Express,No,39,Credit Card,Occasionally,Adult,90
169,26,Female,Formal Pants,Clothing,7199,Washermenpet,L,Pink,Summer,2.9,Yes,Free Shipping,No,39,Wallet,Fortnightly,Young Adult,14
170,21,Other,Jacket,Clothing,5807,Mylapore,XL,Red,Winter,2.7,Yes,Standard,No,2,Wallet,Fortnightly,Young Adult,14
171,50,Other,Scarf,Clothing,6555,Saidapet,S,Black,Spring,2.0,Yes,Standard,No,19,Cash,Occasionally,Middle-Aged,90
172,44,Other,Shorts,Clothing,7670,Perambur,XXL,Teal,Winter,3.1,Yes,Standard,No,4,UPI,Weekly,Middle-Aged,7
173,50,Female,Pajamas,Clothing,4091,Nungambakkam,XL,Brown,Winter,4.1,Yes,Free Shipping,Yes,22,Wallet,Weekly,Middle-Aged,7
174,64,Male,Jeans,Clothing,5534,Thiruvanmiyur,XS,Green,Winter,4.7,No,Express,No,25,Credit Card,Fortnightly,Senior,14
175,60,Female,Skirt,Clothing,2394,Nungambakkam,XL,Red,Spring,4.4,Yes,Standard,Yes,29,Net Banking,Weekly,Senior,7
176,21,Female,Formal Pants,Clothing,3852,Kodungaiyur,XS,Gray,Festive,2.2,No,Express,Yes,17,UPI,Weekly,Young Adult,7
177,67,Other,Chinos,Clothing,9620,Royapettah,L,Purple,Winter,4.9,No,Free Shipping,Yes,32,Net Banking,Occasionally,Senior,90
178,64,Male,Kurti,Clothing,6952,Chromepet,S,Beige,Festive,4.1,No,Express,No,25,Wallet,Monthly,Senior,30
179,44,Male,Jacket,Clothing,9329,Porur,XS,Maroon,Festive,2.5,Yes,Standard,Yes,8,UPI,Monthly,Middle-Aged,30
180,37,Other,Leggings,Clothing,4192,Thiruvanmiyur,XL,Gray,Spring,3.1,No,Standard,No,33,Net Banking,Weekly,Adult,7
181,22,Male,Scarf,Clothing,819,T Nagar,XXL,Teal,Spring,1.2,No,Standard,No,27,Wallet,Monthly,Young Adult,30
182,47,Female,Chinos,Clothing,9468,Saidapet,S,Yellow,Festive,1.1,No,Standard,Yes,2,Cash,Fortnightly,Middle-Aged,14
183,51,Other,Chinos,Clothing,1773,Royapettah,XL,Green,Winter,1.3,No,Standard,No,29,Net Banking,Fortnightly,Middle-Aged,14
184,43,Female,Scarf,Clothing,2222,Washermenpet,M,Gray,Spring,2.3,Yes,Free Shipping,Yes,9,Cash,Fortnightly,Middle-Aged,14
185,23,Female,Tracksuit,Clothing,5238,Saidapet,S,Purple,Spring,1.5,No,Free Shipping,No,12,Net Banking,Occasionally,Young Adult,90
186,20,Male,Scarf,Clothing,7150,Velachery,XL,Black,Summer,2.6,No,Express,Yes,33,Wallet,Weekly,Young Adult,7
187,58,Female,Jeans,Clothing,8457,Washermenpet,L,Blue,Summer,4.1,Yes,Standard,Yes,8,Credit Card,Fortnightly,Senior,14
188,18,Female,Saree,Clothing,3816,Guindy,S,Blue,Festive,2.4,Yes,Standard,No,3,Net Banking,Weekly,Young Adult,7
189,61,Other,Blazer,Clothing,7215,Perambur,XL,Green,Spring,1.9,No,Standard,No,11,Credit Card,Monthly,Senior,30
190,41,Male,Shirt,Clothing,7796,Royapettah,L,Teal,Spring,4.7,No,Express,No,23,Net Banking,Fortnightly,Adult,14
191,65,Female,Jacket,Clothing,5885,Saidapet,M,Red,Monsoon,2.3,No,Free Shipping,Yes,11,UPI,Weekly,Senior,7
